,longitude,variable,value
144,-913.977,lnwpred_longq,4.762881815
145,-913.823,lnwpred_longq,4.761384919
146,-913.599,lnwpred_longq,4.758678735
147,-914.022,lnwpred_longq,4.763263284
148,-915.169,lnwpred_longq,4.764446513
149,-914.314,lnwpred_longq,4.765123943
150,-913.31545,lnwpred_longq,4.754354184
151,-914.38,lnwpred_longq,4.765396917
152,-912.984,lnwpred_longq,4.748025845
153,-915.092,lnwpred_longq,4.764881708
154,-916.55,lnwpred_longq,4.744064469
155,-915.131,lnwpred_longq,4.764670542
156,-914.835,lnwpred_longq,4.765798079
157,-915.09,lnwpred_longq,4.764892025
158,-919.741,lnwpred_longq,4.605840883
159,-914.874,lnwpred_longq,4.765712125
160,-912.574,lnwpred_longq,4.738298937
161,-915.307,lnwpred_longq,4.763481227
162,-913.139,lnwpred_longq,4.751156076
163,-915.138,lnwpred_longq,4.764630629
164,-914.677,lnwpred_longq,4.765951885
165,-915.124,lnwpred_longq,4.764709843
166,-914.837,lnwpred_longq,4.765794134
167,-913.509,lnwpred_longq,4.75741491
168,-914.35,lnwpred_longq,4.765279584
169,-913.452,lnwpred_longq,4.75656215
170,-914.157,lnwpred_longq,4.764255909
171,-915.326,lnwpred_longq,4.763329692
172,-914.607,lnwpred_longq,4.765920337
173,-913.044,lnwpred_longq,4.749273151
174,-915.136,lnwpred_longq,4.764642095
175,-914.105,lnwpred_longq,4.763900524
176,-914.336,lnwpred_longq,4.76522098
177,-913.773,lnwpred_longq,4.760835202
178,-913.374,lnwpred_longq,4.755329443
179,-915.873,lnwpred_longq,4.757033253
180,-913.4815216,lnwpred_longq,4.757008881
181,-913.358,lnwpred_longq,4.755067186
182,-913.625,lnwpred_longq,4.759025001
183,-914.223,lnwpred_longq,4.76465833
184,-914.714,lnwpred_longq,4.765943832
185,-916.718,lnwpred_longq,4.739959503
186,-912.488,lnwpred_longq,4.735992219
187,-913.636,lnwpred_longq,4.759168956
188,-914.733,lnwpred_longq,4.76593305
189,-914.389,lnwpred_longq,4.765429924
190,-914.833,lnwpred_longq,4.765801975
191,-914.464,lnwpred_longq,4.765665635
192,-913.203,lnwpred_longq,4.752361012
193,-914.541,lnwpred_longq,4.765834526
194,-914.044,lnwpred_longq,4.763440574
195,-912.922,lnwpred_longq,4.746689715
196,-914.73,lnwpred_longq,4.765935052
197,-916.4,lnwpred_longq,4.747431672
198,-914.741,lnwpred_longq,4.765927161
199,-914.579,lnwpred_longq,4.765890578
200,-914.109,lnwpred_longq,4.76392906
201,-914.281,lnwpred_longq,4.76496705
202,-914.538,lnwpred_longq,4.765829332
203,-914.445,lnwpred_longq,4.765612568
204,-913.667,lnwpred_longq,4.759566515
205,-914.998,lnwpred_longq,4.765312584
206,-912.898,lnwpred_longq,4.746159612
207,-914.489,lnwpred_longq,4.76572859
208,-916.027,lnwpred_longq,4.754586274
209,-912.498,lnwpred_longq,4.736265189
210,-913.868,lnwpred_longq,4.761852961
211,-913.582,lnwpred_longq,4.758447764
212,-913.586,lnwpred_longq,4.758502435
213,-916.686,lnwpred_longq,4.740768585
214,-913.886,lnwpred_longq,4.762033095
215,-914.657,lnwpred_longq,4.765949118
216,-913.008,lnwpred_longq,4.748530164
217,-914.295,lnwpred_longq,4.765035272
218,-912.9698753,lnwpred_longq,4.747725675
219,-914.397,lnwpred_longq,4.765458415
220,-913.791,lnwpred_longq,4.761036698
221,-915.119,lnwpred_longq,4.76473754
222,-913.4223,lnwpred_longq,4.756101734
223,-913.4223,lnwpred_longq,4.756101734
224,-915.184,lnwpred_longq,4.764353115
225,-914.3778462,lnwpred_longq,4.765388868
226,-914.721,lnwpred_longq,4.765940384
227,-914.114,lnwpred_longq,4.76396445
228,-913.054,lnwpred_longq,4.749476663
229,-914.351,lnwpred_longq,4.765283676
230,-915.164,lnwpred_longq,4.764477021
231,-915.16,lnwpred_longq,4.764501203
232,-915.221,lnwpred_longq,4.764110715
233,-915.391,lnwpred_longq,4.762777181
234,-913.321,lnwpred_longq,4.754448467
235,-914.228,lnwpred_longq,4.764686599
236,-912.819,lnwpred_longq,4.744363862
237,-914.39,lnwpred_longq,4.765433529
238,-913.443,lnwpred_longq,4.756423794
239,-914.723,lnwpred_longq,4.765939287
240,-909.762,lnwpred_longq,4.614994024
241,-913.547,lnwpred_longq,4.757960868
242,-915.733,lnwpred_longq,4.759000683
243,-914.921,lnwpred_longq,4.765583291
244,-914.859,lnwpred_longq,4.765747433
245,-913.687,lnwpred_longq,4.759816634
246,-913.248,lnwpred_longq,4.753177594
247,-920.356,lnwpred_longq,4.564580608
248,-914.687,lnwpred_longq,4.765951395
249,-912.641,lnwpred_longq,4.740032001
250,-914.537,lnwpred_longq,4.765827576
251,-912.6458734,lnwpred_longq,4.740155871
252,-911.723,lnwpred_longq,4.711406766
253,-914.378,lnwpred_longq,4.765389444
254,-914.265,lnwpred_longq,4.764886083
255,-914.113,lnwpred_longq,4.763957397
256,-914.6406,lnwpred_longq,4.76594312
257,-914.985,lnwpred_longq,4.765363485
258,-912.926,lnwpred_longq,4.746777366
259,-916.028,lnwpred_longq,4.754569416
260,-913.662,lnwpred_longq,4.759503205
261,-912.7358437,lnwpred_longq,4.742389407
262,-913.607946,lnwpred_longq,4.758798829
263,-913.5969941,lnwpred_longq,4.75865167
264,-917.326,lnwpred_longq,4.722156409
265,-912.62,lnwpred_longq,4.739494835
266,-913.795,lnwpred_longq,4.761080925
267,-914.688,lnwpred_longq,4.765951277
268,-912.803,lnwpred_longq,4.743990671
269,-913.526,lnwpred_longq,4.757661384
270,-912.165,lnwpred_longq,4.726503445
271,-913.4223,lnwpred_longq,4.756101734
272,-914.579,lnwpred_longq,4.765890578
273,-919.116,lnwpred_longq,4.642931223
274,-914.529,lnwpred_longq,4.765813077
275,-913.14,lnwpred_longq,4.751175297
276,-914.694,lnwpred_longq,4.765950309
277,-912.62,lnwpred_longq,4.739494835
278,-913.526,lnwpred_longq,4.757661384
279,-913.502,lnwpred_longq,4.757312371
280,-913.492,lnwpred_longq,4.757164826
281,-915.005,lnwpred_longq,4.765284301
282,-915.471,lnwpred_longq,4.762024711
283,-913.792,lnwpred_longq,4.761047774
284,-914.982,lnwpred_longq,4.765374931
285,-919.719,lnwpred_longq,4.607229326
286,-917.554,lnwpred_longq,4.714289667
287,-913.4668118,lnwpred_longq,4.756787648
288,-912.554,lnwpred_longq,4.737770736
289,-912.806,lnwpred_longq,4.744060888
290,-912.9172,lnwpred_longq,4.74658427
291,-914.541,lnwpred_longq,4.765834526
292,-913.071,lnwpred_longq,4.749819766
293,-913.348,lnwpred_longq,4.754901651
294,-913.348,lnwpred_longq,4.754901651
295,-913.408,lnwpred_longq,4.755876122
296,-914.788,lnwpred_longq,4.765876418
297,-914.578,lnwpred_longq,4.765889335
298,-913.195,lnwpred_longq,4.752213193
299,-913.27,lnwpred_longq,4.753567605
300,-913.305,lnwpred_longq,4.754175616
301,-914.583,lnwpred_longq,4.765895429
302,-914.364,lnwpred_longq,4.765335738
303,-912.325,lnwpred_longq,4.731366668
304,-915.8687,lnwpred_longq,4.757097326
305,-913.536,lnwpred_longq,4.757804682
306,-913.497,lnwpred_longq,4.757238755
307,-913.34,lnwpred_longq,4.754768324
308,-912.926,lnwpred_longq,4.746777366
309,-914.533,lnwpred_longq,4.765820427
310,-914.6126747,lnwpred_longq,4.765925175
311,-918.145,lnwpred_longq,4.690874881
312,-914.533,lnwpred_longq,4.765820427
313,-912.957,lnwpred_longq,4.747449885
314,-915.581,lnwpred_longq,4.760859518
315,-916.359,lnwpred_longq,4.748303127
316,-912.819,lnwpred_longq,4.744363862
317,-913.551,lnwpred_longq,4.758017287
318,-913.086,lnwpred_longq,4.750119506
319,-912.701,lnwpred_longq,4.741536402
320,-913.495,lnwpred_longq,4.757209221
321,-913.378,lnwpred_longq,4.755394508
322,-913.289,lnwpred_longq,4.753899567
323,-913.182,lnwpred_longq,4.751971283
324,-915.063,lnwpred_longq,4.765026412
325,-914.667,lnwpred_longq,4.765951126
326,-913.403,lnwpred_longq,4.755796633
327,-912.837,lnwpred_longq,4.744779878
328,-913.626,lnwpred_longq,4.75903815
329,-914.626,lnwpred_longq,4.765934953
330,-914.6249,lnwpred_longq,4.76593423
331,-913.255,lnwpred_longq,4.753302344
332,-913.085,lnwpred_longq,4.750099611
333,-914.649,lnwpred_longq,4.765946612
334,-915.081,lnwpred_longq,4.764937833
335,-915.511,lnwpred_longq,4.761618494
336,-913.858,lnwpred_longq,4.761751138
337,-914.127,lnwpred_longq,4.764055002
338,-913.025,lnwpred_longq,4.748883036
339,-914.5,lnwpred_longq,4.765753816
340,-913.774,lnwpred_longq,4.760846503
341,-913.477,lnwpred_longq,4.756941165
342,-913.315,lnwpred_longq,4.754346523
343,-912.816,lnwpred_longq,4.744294132
344,-913.214,lnwpred_longq,4.752562957
345,-913.59,lnwpred_longq,4.758556906
346,-913.257,lnwpred_longq,4.753337875
347,-912.724,lnwpred_longq,4.742101165
348,-915.615,lnwpred_longq,4.760468786
349,-913.383,lnwpred_longq,4.755475558
350,-915.127,lnwpred_longq,4.764693074
351,-912.877,lnwpred_longq,4.745689868
352,-913.3597,lnwpred_longq,4.755095203
353,-913.515,lnwpred_longq,4.757502313
354,-915.015,lnwpred_longq,4.765242836
355,-914.876,lnwpred_longq,4.765707204
356,-915.658,lnwpred_longq,4.759953944
357,-914.42,lnwpred_longq,4.765535871
358,-913.974,lnwpred_longq,4.762855484
359,-913.974,lnwpred_longq,4.762855484
360,-913.485,lnwpred_longq,4.7570608
361,-914.079,lnwpred_longq,4.763710163
362,-914.533,lnwpred_longq,4.765820427
363,-912.847,lnwpred_longq,4.74500925
364,-913.8772011,lnwpred_longq,4.761945546
365,-913.974,lnwpred_longq,4.762855484
366,-913.974,lnwpred_longq,4.762855484
367,-912.987,lnwpred_longq,4.748089278
368,-913.252,lnwpred_longq,4.753248955
369,-912.818,lnwpred_longq,4.744340631
370,-915.407,lnwpred_longq,4.762633083
371,-913.511,lnwpred_longq,4.757444094
372,-913.616,lnwpred_longq,4.758906095
373,-912.667,lnwpred_longq,4.74068943
374,-913.047,lnwpred_longq,4.749334336
375,-913.014,lnwpred_longq,4.748655119
376,-914.417,lnwpred_longq,4.765526143
377,-914.732,lnwpred_longq,4.76593373
378,-914.862,lnwpred_longq,4.765740596
379,-912.479,lnwpred_longq,4.735745478
380,-913.861,lnwpred_longq,4.761781816
381,-910.825,lnwpred_longq,4.673219011
382,-912.554,lnwpred_longq,4.737770736
383,-914.851,lnwpred_longq,4.765765114
384,-913.418,lnwpred_longq,4.756034161
385,-913.321,lnwpred_longq,4.754448467
386,-913.879,lnwpred_longq,4.761963524
387,-912.695,lnwpred_longq,4.741387986
388,-912.411,lnwpred_longq,4.733848505
389,-913.585,lnwpred_longq,4.758488786
390,-913.609,lnwpred_longq,4.758812914
391,-920.497,lnwpred_longq,4.554455111
392,-915.418,lnwpred_longq,4.762532161
